id,country_of_origin,gender,age,education_level,language_proficiency,family_size,prior_camp_years,persecution_ground,persecution_type,nexus_established,state_protection_score,internal_relocation_possible,reported_trauma,credibility_score,risk_score,risk_score_uncapped,integration_score,AI_decision,human_reviewed,human_override,final_decision,processing_time_days,appealed,appeal_outcome,bias_flag
131,Myanmar,Male,46,Tertiary,Basic,1,8,nationality,threats,True,0.1775674133187053,False,False,0.5537499769804427,0.6748215190546141,0.6748215190546141,0.5659724171509636,approve,False,False,approve,51,False,N/A,none
132,Eritrea,Female,60,Primary,Basic,3,7,nationality,threats,False,0.3117214594454471,True,True,0.7198027876435298,0.7724692992685033,0.7724692992685033,0.5297865648250766,deny,False,False,deny,76,False,N/A,moderate
133,Syria,Female,39,Secondary,Intermediate,4,2,political_opinion,sexual_violence,True,0.42924541867469157,True,True,0.4915745239007376,1.0,1.0416939584694664,0.4995463090277144,deny,False,False,deny,58,False,N/A,none
134,Eritrea,Female,43,Tertiary,Basic,2,7,political_opinion,threats,True,0.32085905979801266,False,True,0.575334911104949,0.7235968722596152,0.7235968722596152,0.616807113380331,approve,False,False,approve,115,False,N/A,none
135,Iraq,Female,45,Secondary,Intermediate,1,8,political_opinion,sexual_violence,True,0.06345052767135043,True,True,0.7178459227415347,0.8954947389690318,0.8954947389690318,0.7219511590351959,approve,False,False,approve,74,False,N/A,none
136,Eritrea,Female,38,Secondary,Basic,6,2,nationality,sexual_violence,True,0.17957633340737367,False,False,0.3552997334374391,0.86632072257017,0.86632072257017,0.4893501982172218,deny,False,False,deny,106,True,upheld,moderate
137,Syria,Male,24,Primary,Intermediate,5,2,political_opinion,threats,True,0.28890407046084327,True,True,0.6420390752108888,0.8292686549714068,0.8292686549714068,0.6456461644305296,approve,False,False,approve,38,False,N/A,severe
138,Syria,Male,34,Primary,Fluent,3,1,race,detention,True,0.2886501593511254,False,False,0.5917338486779327,0.8502413020050381,0.8502413020050381,0.7107044222190089,approve,False,False,approve,53,False,N/A,none
139,Iraq,Female,37,Tertiary,Advanced,1,7,social_group,threats,True,0.5958813265184713,True,False,0.9234174171251004,0.757484159314513,0.757484159314513,0.8423871222275832,approve,True,False,approve,81,False,N/A,none
140,Syria,Female,58,Secondary,Intermediate,5,9,social_group,threats,True,0.0921018086401503,True,True,0.4756023482121536,1.0,1.0200715049633244,0.2795988071087621,deny,False,False,deny,65,False,N/A,severe
141,Somalia,Non-binary,37,Tertiary,Intermediate,5,0,religion,threats,True,0.3758383862753812,False,False,0.853915354777329,0.7749206008598335,0.7749206008598335,0.874036692756387,approve,False,False,approve,42,False,N/A,none
142,Syria,Male,39,Primary,Intermediate,6,7,religion,detention,False,0.5233669662492434,True,True,0.7358749599442069,0.8073490758551216,0.8073490758551216,0.6547941670265591,deny,False,False,deny,73,False,N/A,none
143,Myanmar,Male,45,Primary,Intermediate,4,6,social_group,violence,True,0.6407174618134194,True,True,0.6992154788449209,0.7937556557324965,0.7937556557324965,0.5275097670735971,approve,False,False,approve,100,False,N/A,none
144,Somalia,Female,57,None,Intermediate,6,6,race,violence,False,0.2393403865224058,True,True,0.5076974972357154,0.9607848897978879,0.9607848897978879,0.3740705161718731,deny,False,False,deny,101,False,N/A,none
145,Somalia,Male,24,Secondary,Basic,4,2,nationality,sexual_violence,True,0.37371441790802995,True,True,0.4853048585605451,0.940932965337865,0.940932965337865,0.5244704457046554,deny,False,False,deny,107,False,N/A,none
146,Iraq,Female,18,Primary,Advanced,4,0,nationality,sexual_violence,False,0.385464053579797,True,True,0.5335370635497735,0.8576839742382828,0.8576839742382828,0.6710045840646359,deny,False,False,deny,105,False,N/A,moderate
147,Sudan,Female,49,Tertiary,Intermediate,1,3,race,detention,False,0.3293222597329936,True,True,0.8906552036225657,0.8699680350587284,0.8699680350587284,0.6276011141220851,deny,False,False,deny,65,True,upheld,none
148,Sudan,Male,30,Secondary,Basic,1,8,nationality,discrimination,True,0.2851732198141041,False,True,0.41507571697485357,0.71837552052703,0.71837552052703,0.6373491569319303,deny,False,False,deny,90,False,N/A,severe
149,Syria,Female,47,Tertiary,Intermediate,3,4,political_opinion,violence,True,0.36539630842500687,True,True,0.5144400889645007,1.0,1.0820215446322419,0.37593209940925915,approve,False,False,approve,110,False,N/A,moderate
150,Somalia,Female,40,Primary,Intermediate,4,0,social_group,sexual_violence,False,0.05,False,False,0.7498053402549245,0.9122475614840859,0.9122475614840859,0.661773388390966,deny,False,False,deny,69,False,N/A,none
151,Sudan,Male,36,Tertiary,Advanced,5,4,social_group,violence,True,0.40231042350939467,True,True,0.6005794795220258,0.8315530280484269,0.8315530280484269,0.831191962251619,approve,False,False,approve,56,False,N/A,none
152,Sudan,Female,49,Secondary,Advanced,2,7,race,detention,True,0.31892668554929504,True,True,0.5274904753800811,0.8906904396970532,0.8906904396970532,0.6391713112689672,approve,False,False,approve,30,False,N/A,none
153,Syria,Female,47,Secondary,Advanced,3,7,nationality,detention,True,0.2666287654832602,False,True,0.45345936067453524,0.9341011947694632,0.9341011947694632,0.39702371107463075,deny,False,False,deny,63,False,N/A,none
154,Sudan,Female,46,Tertiary,None,1,4,religion,discrimination,False,0.6070293293579336,True,True,0.3975635240809224,0.8665584815883649,0.8665584815883649,0.4967448562543904,deny,False,False,deny,97,False,N/A,severe
155,Eritrea,Male,62,Secondary,Intermediate,6,8,religion,discrimination,False,0.19875989718141715,False,False,0.687592746415526,0.6182295059885631,0.6182295059885631,0.41420128973992276,deny,False,False,deny,117,False,N/A,none
156,Afghanistan,Female,46,Secondary,Intermediate,3,0,nationality,detention,True,0.23953860164024537,True,True,0.6564637591491049,0.9279353656496359,0.9279353656496359,0.5635527317075029,approve,True,True,deny,95,False,N/A,none
157,Iraq,Male,47,Primary,None,3,3,religion,sexual_violence,True,0.5987329953307101,False,True,0.5126959366449225,0.8278011048421146,0.8278011048421146,0.6485405555805264,approve,False,False,approve,62,False,N/A,none
158,Afghanistan,Male,33,None,Basic,3,2,race,violence,True,0.17519080427252148,False,True,0.4490346885498691,0.8704357605599053,0.8704357605599053,0.6766752301075378,deny,True,True,approve,66,False,N/A,none
159,Syria,Female,57,Tertiary,Advanced,3,1,race,threats,True,0.21748270755951915,False,False,0.7713691670670231,0.837671347609779,0.837671347609779,0.4740735322734776,approve,False,False,approve,94,False,N/A,none
160,Myanmar,Male,36,Secondary,Basic,2,7,nationality,discrimination,False,0.2779461864853725,False,False,0.5702706485430421,0.6285672736541732,0.6285672736541732,0.7912833009648752,deny,False,False,deny,32,False,N/A,none
161,Iraq,Male,35,Secondary,Intermediate,6,6,religion,threats,True,0.4261101723194324,False,True,0.6965236203372777,0.7014720277963521,0.7014720277963521,0.7156367212408419,approve,False,False,approve,80,False,N/A,none
162,Syria,Female,18,Secondary,Basic,6,8,race,sexual_violence,True,0.331170376102997,True,True,0.7108855244392855,1.0,1.0631552436607432,0.5391810690176629,approve,True,True,deny,130,False,N/A,none
163,Somalia,Female,31,Primary,None,6,1,race,discrimination,True,0.10610619792716061,True,True,0.38894712992248004,0.767678284927051,0.767678284927051,0.5334959414241934,deny,False,False,deny,83,True,overturned,none
164,Myanmar,Female,64,Primary,Basic,4,3,political_opinion,threats,False,0.22017471553092155,False,False,0.4796303718684387,0.826283610475136,0.826283610475136,0.46816636440818726,deny,False,False,deny,109,True,overturned,none
165,Afghanistan,Female,19,Secondary,Fluent,5,5,political_opinion,sexual_violence,True,0.2088968350181683,True,True,0.5710700998371683,1.0,1.0134612551988473,0.5609556812446101,approve,False,False,approve,103,False,N/A,none
166,Syria,Male,45,Secondary,Advanced,6,2,race,violence,True,0.28841684321654315,True,True,0.4532192103381662,0.9244919593174891,0.9244919593174891,0.5187068412068807,deny,False,False,deny,88,True,overturned,moderate
167,Somalia,Male,47,Primary,Fluent,3,7,nationality,sexual_violence,True,0.36387654879447434,False,True,0.7699404508065285,0.9374728044831655,0.9374728044831655,0.641377873386943,approve,False,False,approve,35,False,N/A,none
168,Iraq,Male,55,Secondary,Intermediate,3,2,social_group,discrimination,True,0.3627308633831958,True,False,0.7866967785459337,0.6385375104809393,0.6385375104809393,0.4709577613038137,approve,False,False,approve,58,False,N/A,none
169,Iraq,Female,21,None,Basic,6,1,social_group,detention,True,0.05,False,True,0.4566045287659993,0.8990856765866273,0.8990856765866273,0.6277349732282714,deny,False,False,deny,46,False,N/A,severe
170,Venezuela,Female,18,Secondary,Intermediate,6,2,race,violence,True,0.4595911481341284,False,False,0.6807010830471917,0.7713618053828711,0.7713618053828711,0.5918417040524258,approve,True,True,deny,113,False,N/A,none
171,Somalia,Female,25,Primary,Intermediate,3,5,race,threats,True,0.3378853268994935,False,False,0.8610402118837626,0.9179919983194172,0.9179919983194172,0.5397051722925292,approve,False,False,approve,51,False,N/A,none
172,Eritrea,Female,46,Secondary,Advanced,4,1,race,discrimination,False,0.5076798071390859,False,True,0.5973822258122775,0.7047016900506071,0.7047016900506071,0.6825585881008793,deny,False,False,deny,53,False,N/A,moderate
173,Sudan,Male,56,Primary,Basic,1,7,nationality,detention,False,0.3666297490936008,True,True,0.613290385581081,0.7487065947015262,0.7487065947015262,0.6982937455833728,deny,False,False,deny,110,True,overturned,moderate
174,Myanmar,Female,20,Secondary,Intermediate,1,0,political_opinion,sexual_violence,False,0.46519844366036434,True,False,0.6941885657515686,0.9331165674809561,0.9331165674809561,0.7708839002811265,deny,False,False,deny,114,False,N/A,none
175,Somalia,Male,49,None,Basic,6,6,race,detention,True,0.369981796717519,False,False,0.35874738529809946,0.8353584957629799,0.8353584957629799,0.4111060470837089,deny,False,False,deny,80,False,N/A,none
176,Venezuela,Female,27,None,Intermediate,2,1,race,discrimination,False,0.5019338634304122,True,False,0.6388795460976643,0.5260743629317701,0.5260743629317701,0.46404428214908167,deny,False,False,deny,79,False,N/A,none
177,Sudan,Male,27,Primary,Advanced,6,9,religion,discrimination,True,0.37833759540266676,False,True,0.6814454178025992,0.6912352735047993,0.6912352735047993,0.6342237320599801,approve,False,False,approve,40,False,N/A,none
178,Sudan,Female,36,Secondary,Intermediate,6,5,nationality,detention,True,0.28531271303356437,False,False,0.753545913890039,0.8999658800859566,0.8999658800859566,0.5407477715814182,approve,False,False,approve,85,False,N/A,moderate
179,Syria,Male,63,Secondary,Intermediate,1,1,race,sexual_violence,True,0.6408652080670323,False,True,0.63219176330843,1.0,1.018019669750904,0.6664716727284189,approve,False,False,approve,100,False,N/A,none
180,Sudan,Male,51,Primary,Intermediate,3,1,religion,detention,True,0.4333555683419838,True,True,0.5643160377424754,0.8252143926692137,0.8252143926692137,0.40772969461047714,approve,False,False,approve,71,False,N/A,none
181,Eritrea,Male,50,Secondary,Intermediate,6,9,social_group,discrimination,True,0.3860616631506619,False,False,1.0,0.664548236506872,0.664548236506872,0.61539205826618,approve,False,False,approve,68,False,N/A,none
182,Iraq,Female,40,Tertiary,Advanced,3,7,race,discrimination,True,0.10855433751924962,False,False,0.9776384967794259,0.6546495670364971,0.6546495670364971,0.72513858089433,approve,False,False,approve,98,False,N/A,none
183,Venezuela,Female,45,Secondary,Advanced,3,1,race,threats,True,0.10675385738046933,False,False,0.8584240342478269,0.6043049686675579,0.6043049686675579,0.6394925439799239,approve,False,False,approve,77,False,N/A,none
184,Sudan,Male,49,None,Fluent,2,6,religion,threats,True,0.343907322321278,True,True,0.5867698737305083,0.6900524301003061,0.6900524301003061,0.6725731064513589,approve,False,False,approve,86,False,N/A,moderate
185,Syria,Male,24,Secondary,Advanced,3,2,nationality,violence,True,0.32182817966523614,False,True,0.8210735800895005,1.0,1.0392387519592547,0.6480990173990423,approve,False,False,approve,50,False,N/A,none
186,Eritrea,Female,46,Primary,Intermediate,1,7,race,discrimination,True,0.20788161524875257,False,False,0.7276992164587178,0.7306725182309646,0.7306725182309646,0.49652984772767905,approve,True,True,deny,145,False,N/A,none
187,Afghanistan,Male,25,Primary,Intermediate,4,6,social_group,threats,True,0.321147404941809,False,True,0.5739307129161054,0.7887573472102575,0.7887573472102575,0.47931338621801467,approve,False,False,approve,49,False,N/A,none
188,Iraq,Female,18,Tertiary,Intermediate,4,7,race,detention,False,0.5382940392065394,False,False,0.7044653512101128,0.7335603959273771,0.7335603959273771,0.5882886374161969,deny,False,False,deny,44,False,N/A,none
189,Iraq,Female,20,Primary,Basic,5,6,social_group,sexual_violence,False,0.40431037118254476,True,True,0.45786239935059675,1.0,1.0267828951163889,0.35641224099640695,deny,False,False,deny,98,False,N/A,moderate
190,Venezuela,Male,41,Secondary,Advanced,6,5,political_opinion,detention,True,0.12884872353708926,False,True,0.19443613961829165,0.5463335983888553,0.5463335983888553,0.48815101182000803,deny,False,False,deny,106,False,N/A,severe
191,Iraq,Male,40,Secondary,None,1,6,political_opinion,sexual_violence,True,0.28327367592855845,False,True,0.45159012589464625,0.7785576037196964,0.7785576037196964,0.5783635444068883,deny,False,False,deny,80,False,N/A,none
192,Sudan,Non-binary,25,Secondary,Fluent,3,4,social_group,threats,True,0.17925502787211586,True,True,0.6467285879834461,0.8307918418143031,0.8307918418143031,0.6874295046034244,approve,False,False,approve,105,False,N/A,moderate
193,Syria,Male,64,Secondary,Intermediate,4,6,nationality,violence,False,0.24184501253871582,False,True,0.8589004997424327,0.9800106482872138,0.9800106482872138,0.7529277603344344,deny,False,False,deny,91,True,upheld,none
194,Iraq,Male,54,None,Intermediate,1,0,race,detention,True,0.2379576501555536,False,True,0.4729016106217632,0.7478966027607843,0.7478966027607843,0.645491040117739,deny,False,False,deny,114,False,N/A,none
195,Iraq,Female,20,Primary,Intermediate,4,0,race,detention,True,0.2283531626093992,False,True,0.3916554870697557,0.8703804253884632,0.8703804253884632,0.6493781563411491,deny,False,False,deny,66,False,N/A,none
196,Afghanistan,Female,50,Secondary,Advanced,3,8,political_opinion,detention,True,0.11172969420399076,False,True,0.6625179768807825,0.9553078827730357,0.9553078827730357,0.47717914384750765,approve,False,False,approve,35,False,N/A,none
197,Afghanistan,Non-binary,45,None,Intermediate,4,4,social_group,sexual_violence,True,0.2808517977722715,False,True,0.3130818372406244,0.9571984600016666,0.9571984600016666,0.3207160004091345,deny,False,False,deny,100,False,N/A,severe
198,Myanmar,Female,64,Primary,Intermediate,6,4,race,threats,True,0.21590885447290348,False,False,0.72101111235687,0.7671527437439108,0.7671527437439108,0.4436008394270417,approve,False,False,approve,55,False,N/A,none
199,Eritrea,Male,25,None,Basic,6,2,race,detention,False,0.05,True,True,0.4136421046509228,0.7653916186256943,0.7653916186256943,0.6663480538240378,deny,False,False,deny,37,False,N/A,moderate
200,Sudan,Male,51,None,Intermediate,5,4,nationality,detention,True,0.6079458036752494,True,True,0.6136759446662402,0.9034113020752912,0.9034113020752912,0.74286319628732,approve,False,False,approve,102,False,N/A,none
201,Iraq,Female,52,Primary,Basic,5,2,religion,violence,True,0.4633154481325008,False,False,0.4313677312458152,0.7601097260787851,0.7601097260787851,0.6191342157836593,deny,False,False,deny,33,False,N/A,severe
202,Somalia,Female,49,Primary,Advanced,4,8,political_opinion,violence,False,0.24355489126125057,False,True,0.6251012144342222,1.0,1.0201288252612613,0.4140475742247063,deny,False,False,deny,50,True,overturned,none
203,Iraq,Male,41,Secondary,Intermediate,1,8,political_opinion,threats,False,0.3028228574610898,False,True,0.4152467306860047,0.6589957184773209,0.6589957184773209,0.7107841772126049,deny,False,False,deny,60,False,N/A,none
204,Syria,Female,31,Secondary,Intermediate,6,5,religion,threats,True,0.12425184790236574,False,True,0.7252242172887072,0.971891526761474,0.971891526761474,0.6365757549986545,approve,False,False,approve,50,False,N/A,none
205,Myanmar,Male,49,Tertiary,None,1,0,race,discrimination,True,0.5543584316716298,True,False,0.6278306770660184,0.6449002641682033,0.6449002641682033,0.37485638713134883,approve,False,False,approve,54,False,N/A,none
206,Eritrea,Female,63,Primary,Basic,1,6,nationality,violence,True,0.5845933042159668,False,True,0.5443707531541357,0.8378783684936836,0.8378783684936836,0.43470579756093175,approve,False,False,approve,44,False,N/A,none
207,Somalia,Male,60,Primary,Advanced,4,6,nationality,discrimination,False,0.32350405923697867,True,False,0.7002428547035412,0.7675436389700666,0.7675436389700666,0.35566766689446067,deny,False,False,deny,64,False,N/A,moderate
208,Myanmar,Male,33,Primary,Basic,1,9,political_opinion,sexual_violence,True,0.4535295966278017,False,False,0.6122159336183187,0.8827215513552811,0.8827215513552811,0.651008970483203,approve,False,False,approve,78,False,N/A,none
209,Venezuela,Male,21,Secondary,Basic,6,9,nationality,discrimination,False,0.32629301684008855,False,True,0.7606508662462895,0.5486028482869861,0.5486028482869861,0.5596819574733364,deny,False,False,deny,72,False,N/A,none
210,Eritrea,Male,54,Secondary,None,3,3,religion,detention,True,0.09949118416861039,True,True,0.37723586144369786,0.7493347682310683,0.7493347682310683,0.43169688944367013,deny,False,False,deny,70,False,N/A,moderate
211,Iraq,Male,38,None,Fluent,5,7,race,discrimination,True,0.2382264946554514,True,False,0.6707967775565127,0.5700088988340075,0.5700088988340075,0.6964439981769948,approve,False,False,approve,66,False,N/A,none
212,Iraq,Female,31,Tertiary,Advanced,3,5,religion,threats,True,0.31978919501579356,False,False,0.6370810551227886,0.6520606502488079,0.6520606502488079,0.7794957175191007,approve,False,False,approve,86,False,N/A,none
213,Eritrea,Female,48,None,Intermediate,1,3,social_group,sexual_violence,True,0.23181784218848336,False,True,0.3397608557602502,0.9709686634069703,0.9709686634069703,0.5263792586071573,deny,False,False,deny,71,False,N/A,severe
214,Iraq,Female,35,Secondary,Basic,3,3,political_opinion,detention,True,0.2672020083847446,True,True,0.5346719939639962,0.8011944741221994,0.8011944741221994,0.5874883449768709,approve,False,False,approve,76,False,N/A,moderate
215,Sudan,Non-binary,24,Secondary,Intermediate,6,1,nationality,discrimination,True,0.2862900663736328,False,True,0.7855900320052862,0.7117108683568021,0.7117108683568021,0.7791500114131178,approve,False,False,approve,90,False,N/A,moderate
216,Eritrea,Male,27,Tertiary,Advanced,6,1,social_group,sexual_violence,True,0.2878682253201808,False,False,0.7615578763622641,0.8230713163351687,0.8230713163351687,0.8211417198598729,approve,False,False,approve,43,False,N/A,moderate
217,Myanmar,Male,24,Secondary,Intermediate,1,3,nationality,sexual_violence,False,0.30783877357462247,False,False,0.6646125206031814,0.826662059402428,0.826662059402428,0.45089185195700865,deny,False,False,deny,97,False,N/A,none
218,Eritrea,Female,50,Tertiary,Basic,4,4,race,detention,True,0.14090924004050986,False,True,0.5089672133243438,0.755850778400879,0.755850778400879,0.5306457906365685,approve,False,False,approve,82,False,N/A,none
219,Somalia,Male,40,Primary,Basic,3,7,race,discrimination,False,0.19244757763080955,False,False,0.4697864993733516,0.6891158801697432,0.6891158801697432,0.4731479550748898,deny,False,False,deny,113,False,N/A,none
220,Iraq,Non-binary,38,Tertiary,Basic,4,5,race,sexual_violence,True,0.10731236014500459,False,True,0.6142457183563232,0.8033084821596824,0.8033084821596824,0.4473799093504511,approve,False,False,approve,63,False,N/A,none
221,Sudan,Male,36,None,Intermediate,4,3,nationality,sexual_violence,True,0.44667233245293003,False,True,0.24541135322320334,0.8793760494056032,0.8793760494056032,0.5598689336205898,deny,False,False,deny,105,True,overturned,none
222,Sudan,Non-binary,36,Tertiary,Advanced,2,6,social_group,violence,True,0.05,False,True,0.9121409365000093,0.8730651250835217,0.8730651250835217,0.9042503998694083,approve,False,False,approve,53,False,N/A,none
223,Venezuela,Male,53,Secondary,Basic,1,7,race,sexual_violence,True,0.4730385514975388,True,True,0.420186655280581,0.6186497539566627,0.6186497539566627,0.3303785810460472,deny,False,False,deny,49,False,N/A,moderate
224,Myanmar,Female,46,Tertiary,None,5,1,social_group,violence,False,0.5079524095894264,False,False,0.6582855228157213,0.9811295115284739,0.9811295115284739,0.7254225293187059,deny,False,False,deny,98,False,N/A,moderate
225,Afghanistan,Female,35,Secondary,Basic,6,6,nationality,discrimination,True,0.2546729119526068,True,True,0.3295002103909186,0.8926270365514615,0.8926270365514615,0.673158377571144,deny,False,False,deny,59,False,N/A,moderate
226,Afghanistan,Non-binary,19,Secondary,Fluent,6,1,social_group,discrimination,True,0.05,True,False,0.9003260195819328,0.7710490289240007,0.7710490289240007,0.8344380134707952,approve,False,False,approve,117,False,N/A,moderate
227,Eritrea,Male,18,Secondary,Basic,1,1,nationality,discrimination,True,0.2458034157049064,True,False,0.7007916911721747,0.6636210698326804,0.6636210698326804,0.4892878549604337,approve,False,False,approve,36,False,N/A,none
228,Venezuela,Female,64,Secondary,Advanced,5,7,nationality,threats,True,0.2903723758066771,True,False,0.8076303108008845,0.6508732544910647,0.6508732544910647,0.7189190646820238,approve,False,False,approve,65,False,N/A,none
229,Syria,Non-binary,22,None,Intermediate,6,1,political_opinion,discrimination,True,0.14841026701066298,False,False,0.40083572173003124,0.9195542927386737,0.9195542927386737,0.4143136763008711,deny,False,False,deny,67,True,upheld,moderate
230,Eritrea,Female,37,None,Intermediate,1,8,nationality,sexual_violence,False,0.22271724092876358,True,True,0.5074322284397116,0.8890697486669961,0.8890697486669961,0.6124795253295143,deny,False,False,deny,109,True,upheld,none
231,Venezuela,Female,28,Primary,Basic,6,0,nationality,detention,False,0.5295292798295027,False,True,0.2925415722898416,0.7346053391991214,0.7346053391991214,0.29721961724884954,deny,False,False,deny,81,False,N/A,none
232,Myanmar,Female,59,Primary,Basic,4,8,religion,violence,True,0.3997390743452611,False,True,0.43208551173557225,0.8526047347896532,0.8526047347896532,0.25324378289886923,deny,False,False,deny,44,True,upheld,none
233,Myanmar,Male,19,Tertiary,Intermediate,3,0,race,threats,True,0.161315382843285,False,True,0.824411965143299,0.6332068797915693,0.6332068797915693,0.7264854997216295,approve,False,False,approve,75,False,N/A,none
234,Myanmar,Female,20,Primary,Advanced,3,9,political_opinion,discrimination,True,0.06036012456068518,True,True,0.7395052890606114,0.7662068279657247,0.7662068279657247,0.5878798211010753,approve,True,True,deny,96,False,N/A,moderate
235,Myanmar,Female,40,Tertiary,Intermediate,6,9,political_opinion,discrimination,True,0.2509474023585343,False,False,0.752277441381065,0.7945379212061213,0.7945379212061213,0.5748564981286846,approve,False,False,approve,41,False,N/A,none
236,Myanmar,Female,29,Primary,Intermediate,2,1,political_opinion,detention,True,0.26798148309743425,False,False,0.5037790136115737,0.9593954486765341,0.9593954486765341,0.4433912895688793,approve,False,False,approve,73,False,N/A,none
237,Venezuela,Male,37,Primary,None,5,5,religion,detention,True,0.37442987810449746,False,False,0.5468381568261291,0.5400137367454894,0.5400137367454894,0.6752880876455675,deny,False,False,deny,44,True,upheld,moderate
238,Venezuela,Male,22,Secondary,Fluent,5,5,nationality,threats,True,0.21970249311485113,False,True,0.7229071856547039,0.5849459842540394,0.5849459842540394,0.4150377775863033,approve,False,False,approve,78,False,N/A,none
239,Sudan,Female,54,Secondary,Advanced,5,0,race,violence,True,0.37672493630427917,False,False,0.4019526602654365,0.9095099378103233,0.9095099378103233,0.5745661032134878,deny,True,False,deny,108,False,N/A,none
240,Somalia,Female,55,Secondary,Basic,4,6,social_group,discrimination,True,0.5902731060090344,False,False,0.7173944739474778,0.8491679355262015,0.8491679355262015,0.40437191774524844,approve,False,False,approve,44,False,N/A,none
241,Afghanistan,Male,47,Secondary,Fluent,5,7,nationality,threats,True,0.42232515336663934,True,True,0.7163650749195463,0.7264755224384375,0.7264755224384375,0.49457044735963773,approve,False,False,approve,43,False,N/A,none
242,Iraq,Female,26,Secondary,Intermediate,3,1,religion,sexual_violence,True,0.2927867239003841,False,True,0.8003676871974609,0.8168615112150718,0.8168615112150718,0.6232130615700489,approve,False,False,approve,71,False,N/A,none
243,Myanmar,Male,51,Primary,Intermediate,4,7,nationality,sexual_violence,True,0.2725274293420058,True,True,0.4057094221735793,0.8112062588416757,0.8112062588416757,0.4647986933273018,deny,False,False,deny,109,False,N/A,moderate
244,Syria,Male,61,Tertiary,Advanced,1,8,nationality,threats,False,0.2464990298730193,False,True,0.2434944280205999,0.8539482022834042,0.8539482022834042,0.29082438896238816,deny,True,True,approve,71,False,N/A,moderate
245,Iraq,Male,52,Tertiary,Advanced,5,5,religion,discrimination,True,0.4770961368678217,True,False,0.8418625787517778,0.5679459366730822,0.5679459366730822,0.5678870403515716,approve,False,False,approve,92,False,N/A,none
246,Venezuela,Male,39,Secondary,Intermediate,5,4,political_opinion,threats,True,0.20590298310730454,True,True,0.663734551502296,0.582952717195671,0.582952717195671,0.828203082573051,approve,False,False,approve,97,False,N/A,none
247,Syria,Female,61,Primary,Basic,1,8,political_opinion,discrimination,True,0.30678340634999735,False,True,0.21639925585903225,0.9313447309128956,0.9313447309128956,0.394620146269542,deny,False,False,deny,56,False,N/A,moderate
248,Syria,Male,41,Secondary,Intermediate,5,8,race,detention,False,0.3076796852821628,False,True,0.47322506812000914,0.9299788770622678,0.9299788770622678,0.36437749510924466,deny,False,False,deny,116,False,N/A,moderate
249,Syria,Non-binary,34,None,Fluent,1,0,race,threats,True,0.2247323710782702,True,True,0.9832826615579854,0.9909393819830433,0.9909393819830433,0.7596691422866337,approve,True,True,deny,116,False,N/A,moderate
250,Sudan,Non-binary,27,None,Basic,4,2,political_opinion,discrimination,True,0.09413016781738487,False,False,0.4041584078769296,0.7807913314727671,0.7807913314727671,0.6659525573340743,deny,False,False,deny,81,True,overturned,none
251,Venezuela,Female,47,Primary,Intermediate,3,8,social_group,threats,True,0.3484461755426502,False,False,0.7596438464564325,0.5691551644829916,0.5691551644829916,0.5558685845754117,approve,False,False,approve,92,False,N/A,none
252,Syria,Female,63,Secondary,Intermediate,1,1,nationality,threats,False,0.2908494042216925,True,True,0.5224010258947426,0.9981688256769169,0.9981688256769169,0.2867829482676523,deny,False,False,deny,102,False,N/A,none
253,Myanmar,Male,40,Tertiary,Intermediate,2,3,social_group,discrimination,False,0.3750360704154855,False,False,0.4364545651720265,0.6197421882197001,0.6197421882197001,0.6493643061333492,deny,False,False,deny,82,True,overturned,none
254,Eritrea,Female,49,Secondary,Intermediate,1,3,nationality,discrimination,True,0.21995995403412494,True,True,0.5944612629806143,0.7755209249842784,0.7755209249842784,0.6001900379666782,approve,False,False,approve,86,False,N/A,none
255,Syria,Female,34,Secondary,Fluent,5,1,political_opinion,violence,False,0.48312319482195715,False,True,0.6801593159570843,1.0,1.1086867108277554,0.6944744437991497,deny,False,False,deny,81,False,N/A,none
256,Sudan,Male,34,Secondary,Basic,4,2,race,threats,False,0.16848393281822327,False,False,0.5400182641997444,0.77283440053652,0.77283440053652,0.43172364380857525,deny,False,False,deny,72,False,N/A,none
257,Iraq,Female,31,Primary,Basic,6,2,race,sexual_violence,False,0.5568060426026838,True,True,0.4528038746740412,0.8051920593417675,0.8051920593417675,0.4144640109306806,deny,False,False,deny,36,True,overturned,severe
258,Venezuela,Female,26,Primary,Basic,4,0,social_group,threats,True,0.05,False,False,0.5896402407468455,0.5840893916745105,0.5840893916745105,0.6334472833554123,approve,False,False,approve,71,False,N/A,severe
259,Somalia,Female,57,Tertiary,Advanced,6,5,race,threats,True,0.36521550968353367,True,True,0.6974824573119291,0.9261372233442567,0.9261372233442567,0.4364082337940203,approve,False,False,approve,33,False,N/A,none
260,Sudan,Female,19,None,Intermediate,1,7,political_opinion,discrimination,True,0.3713146023789935,False,True,0.28039907480789544,0.771543865717859,0.771543865717859,0.4223590903939565,deny,False,False,deny,98,False,N/A,moderate
261,Syria,Female,62,Tertiary,Basic,3,2,social_group,threats,False,0.18066643980886765,False,False,0.7229277187342908,0.9339786767471082,0.9339786767471082,0.5528380476197594,deny,False,False,deny,34,False,N/A,none
262,Venezuela,Male,42,Secondary,Advanced,2,4,nationality,threats,True,0.36365909067915186,False,True,0.3775942367016365,0.5879412208081805,0.5879412208081805,0.4244405707890304,deny,False,False,deny,104,True,upheld,moderate
